% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 27 2026, 09:19
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
37.000                                            1.0000                                            300.00                                            2800.0                                            0.033333                                          0.69663                                           17.694
37.000                                            1.0000                                            300.00                                            2800.0                                            0.034375                                          -4.1640                                           58.911
37.000                                            1.0000                                            300.00                                            2800.0                                            0.035417                                          -15.493                                           90.460
37.000                                            1.0000                                            300.00                                            2800.0                                            0.036458                                          -28.692                                           98.261
37.000                                            1.0000                                            300.00                                            2800.0                                            0.037500                                          -39.884                                           85.535
37.000                                            1.0000                                            300.00                                            2800.0                                            0.038542                                          -45.996                                           57.448
37.000                                            1.0000                                            300.00                                            2800.0                                            0.039583                                          -45.758                                           19.077
37.000                                            1.0000                                            300.00                                            2800.0                                            0.040625                                          -40.657                                           -27.159
37.000                                            1.0000                                            300.00                                            2800.0                                            0.041667                                          -29.748                                           -70.163
37.000                                            1.0000                                            300.00                                            2800.0                                            0.042708                                          -14.256                                           -102.36
37.000                                            1.0000                                            300.00                                            2800.0                                            0.043750                                          3.0755                                            -119.75
37.000                                            1.0000                                            300.00                                            2800.0                                            0.044792                                          16.400                                            -127.25
37.000                                            1.0000                                            300.00                                            2800.0                                            0.045833                                          21.996                                            -127.72
37.000                                            1.0000                                            300.00                                            2800.0                                            0.046875                                          24.457                                            -108.25
37.000                                            1.0000                                            300.00                                            2800.0                                            0.047917                                          25.831                                            -66.077
37.000                                            1.0000                                            300.00                                            2800.0                                            0.048958                                          26.290                                            -6.7247
37.000                                            1.0000                                            300.00                                            2800.0                                            0.050000                                          25.621                                            60.428
37.000                                            1.0000                                            300.00                                            2800.0                                            0.051042                                          23.644                                            124.50
37.000                                            1.0000                                            300.00                                            2800.0                                            0.052083                                          18.210                                            169.95
37.000                                            1.0000                                            300.00                                            2800.0                                            0.053125                                          -1.7153                                           161.89
37.000                                            1.0000                                            300.00                                            2800.0                                            0.054167                                          -23.776                                           123.53
37.000                                            1.0000                                            300.00                                            2800.0                                            0.055208                                          -37.971                                           76.375
37.000                                            1.0000                                            300.00                                            2800.0                                            0.056250                                          -43.321                                           24.824
37.000                                            1.0000                                            300.00                                            2800.0                                            0.057292                                          -40.221                                           -26.131
37.000                                            1.0000                                            300.00                                            2800.0                                            0.058333                                          -29.923                                           -70.576
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0000                                            25.363                                            644.23
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0010417                                         6.0069                                            221.31
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0020833                                         -4.3013                                           17.748
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0031250                                         -6.0055                                           13.395
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0041667                                         -6.7321                                           8.6093
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0052083                                         -6.4828                                           1.2710
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0062500                                         -5.2581                                           -6.5555
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0072917                                         -3.2399                                           -13.560
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0083333                                         -0.73517                                          -18.673
37.000                                            1.0000                                            300.00                                            3000.0                                            0.0093750                                         1.8741                                            -21.129
37.000                                            1.0000                                            300.00                                            3000.0                                            0.010417                                          4.1907                                            -20.555
37.000                                            1.0000                                            300.00                                            3000.0                                            0.011458                                          5.8676                                            -16.898
37.000                                            1.0000                                            300.00                                            3000.0                                            0.012500                                          6.6632                                            -10.361
37.000                                            1.0000                                            300.00                                            3000.0                                            0.013542                                          6.4774                                            -1.4071
37.000                                            1.0000                                            300.00                                            3000.0                                            0.014583                                          5.3045                                            7.7334
37.000                                            1.0000                                            300.00                                            3000.0                                            0.015625                                          3.2941                                            14.938
37.000                                            1.0000                                            300.00                                            3000.0                                            0.016667                                          0.81431                                           20.684
37.000                                            1.0000                                            300.00                                            3000.0                                            0.017708                                          -1.8486                                           21.777
37.000                                            1.0000                                            300.00                                            3000.0                                            0.018750                                          -4.2165                                           19.901
37.000                                            1.0000                                            300.00                                            3000.0                                            0.019792                                          -5.9211                                           15.538
37.000                                            1.0000                                            300.00                                            3000.0                                            0.020833                                          -6.7133                                           9.0869
37.000                                            1.0000                                            300.00                                            3000.0                                            0.021875                                          -6.5814                                           -1.2328
37.000                                            1.0000                                            300.00                                            3000.0                                            0.022917                                          -5.3971                                           -10.085
37.000                                            1.0000                                            300.00                                            3000.0                                            0.023958                                          -3.3668                                           -16.784
37.000                                            1.0000                                            300.00                                            3000.0                                            0.025000                                          -0.82487                                          -20.952
37.000                                            1.0000                                            300.00                                            3000.0                                            0.026042                                          1.8344                                            -22.138
37.000                                            1.0000                                            300.00                                            3000.0                                            0.027083                                          4.2055                                            -20.181
37.000                                            1.0000                                            300.00                                            3000.0                                            0.028125                                          5.9350                                            -15.183
37.000                                            1.0000                                            300.00                                            3000.0                                            0.029167                                          6.7785                                            -7.4320
37.000                                            1.0000                                            300.00                                            3000.0                                            0.030208                                          6.6512                                            3.0077
37.000                                            1.0000                                            300.00                                            3000.0                                            0.031250                                          5.4874                                            12.379
37.000                                            1.0000                                            300.00                                            3000.0                                            0.032292                                          3.4163                                            18.041
37.000                                            1.0000                                            300.00                                            3000.0                                            0.033333                                          0.81627                                           20.733
37.000                                            1.0000                                            300.00                                            3000.0                                            0.034375                                          -3.4344                                           60.632
37.000                                            1.0000                                            300.00                                            3000.0                                            0.035417                                          -13.513                                           95.130
37.000                                            1.0000                                            300.00                                            3000.0                                            0.036458                                          -25.590                                           105.58
37.000                                            1.0000                                            300.00                                            3000.0                                            0.037500                                          -36.315                                           93.953
37.000                                            1.0000                                            300.00                                            3000.0                                            0.038542                                          -42.632                                           65.384
37.000                                            1.0000                                            300.00                                            3000.0                                            0.039583                                          -43.233                                           25.033
37.000                                            1.0000                                            300.00                                            3000.0                                            0.040625                                          -37.803                                           -20.430
37.000                                            1.0000                                            300.00                                            3000.0                                            0.041667                                          -27.036                                           -63.767
37.000                                            1.0000                                            300.00                                            3000.0                                            0.042708                                          -13.543                                           -100.67
37.000                                            1.0000                                            300.00                                            3000.0                                            0.043750                                          1.7075                                            -122.97
37.000                                            1.0000                                            300.00                                            3000.0                                            0.044792                                          14.288                                            -132.23
37.000                                            1.0000                                            300.00                                            3000.0                                            0.045833                                          20.114                                            -132.16
37.000                                            1.0000                                            300.00                                            3000.0                                            0.046875                                          22.546                                            -112.76
37.000                                            1.0000                                            300.00                                            3000.0                                            0.047917                                          23.869                                            -70.704
37.000                                            1.0000                                            300.00                                            3000.0                                            0.048958                                          24.339                                            -11.326
37.000                                            1.0000                                            300.00                                            3000.0                                            0.050000                                          23.819                                            56.178
37.000                                            1.0000                                            300.00                                            3000.0                                            0.051042                                          22.132                                            120.93
37.000                                            1.0000                                            300.00                                            3000.0                                            0.052083                                          17.640                                            168.61
37.000                                            1.0000                                            300.00                                            3000.0                                            0.053125                                          1.5688                                            169.63
37.000                                            1.0000                                            300.00                                            3000.0                                            0.054167                                          -18.505                                           135.96
37.000                                            1.0000                                            300.00                                            3000.0                                            0.055208                                          -32.497                                           89.287
37.000                                            1.0000                                            300.00                                            3000.0                                            0.056250                                          -38.772                                           35.552
37.000                                            1.0000                                            300.00                                            3000.0                                            0.057292                                          -37.365                                           -19.397
37.000                                            1.0000                                            300.00                                            3000.0                                            0.058333                                          -29.154                                           -68.761
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0000                                            31.145                                            791.10
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0010417                                         0.49856                                           81.395
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0020833                                         -4.5530                                           11.353
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0031250                                         -6.1367                                           10.060
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0041667                                         -6.8180                                           6.4274
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0052083                                         -6.4936                                           0.99516
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0062500                                         -5.1867                                           -4.7422
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0072917                                         -3.0937                                           -9.8468
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0083333                                         -0.53488                                          -13.586
37.000                                            1.0000                                            320.00                                            2600.0                                            0.0093750                                         2.1025                                            -15.329
37.000                                            1.0000                                            320.00                                            2600.0                                            0.010417                                          4.4176                                            -14.792
37.000                                            1.0000                                            320.00                                            2600.0                                            0.011458                                          6.0623                                            -11.950
37.000                                            1.0000                                            320.00                                            2600.0                                            0.012500                                          6.7918                                            -7.0930
37.000                                            1.0000                                            320.00                                            2600.0                                            0.013542                                          6.4950                                            -0.96054
37.000                                            1.0000                                            320.00                                            2600.0                                            0.014583                                          5.2079                                            5.2807
37.000                                            1.0000                                            320.00                                            2600.0                                            0.015625                                          3.1195                                            10.503
37.000                                            1.0000                                            320.00                                            2600.0                                            0.016667                                          0.58497                                           14.858
37.000                                            1.0000                                            320.00                                            2600.0                                            0.017708                                          -2.0898                                           15.650
37.000                                            1.0000                                            320.00                                            2600.0                                            0.018750                                          -4.4338                                           14.382
37.000                                            1.0000                                            320.00                                            2600.0                                            0.019792                                          -6.0883                                           11.291
37.000                                            1.0000                                            320.00                                            2600.0                                            0.020833                                          -6.8098                                           6.6363
37.000                                            1.0000                                            320.00                                            2600.0                                            0.021875                                          -6.5734                                           -1.0312
37.000                                            1.0000                                            320.00                                            2600.0                                            0.022917                                          -5.2892                                           -7.3448
37.000                                            1.0000                                            320.00                                            2600.0                                            0.023958                                          -3.1820                                           -12.092
37.000                                            1.0000                                            320.00                                            2600.0                                            0.025000                                          -0.59411                                          -15.090
37.000                                            1.0000                                            320.00                                            2600.0                                            0.026042                                          2.0811                                            -15.873
37.000                                            1.0000                                            320.00                                            2600.0                                            0.027083                                          4.4139                                            -14.888
37.000                                            1.0000                                            320.00                                            2600.0                                            0.028125                                          6.0617                                            -11.968
37.000                                            1.0000                                            320.00                                            2600.0                                            0.029167                                          6.7917                                            -7.0962
37.000                                            1.0000                                            320.00                                            2600.0                                            0.030208                                          6.5818                                            1.2449
37.000                                            1.0000                                            320.00                                            2600.0                                            0.031250                                          5.3204                                            8.1378
37.000                                            1.0000                                            320.00                                            2600.0                                            0.032292                                          3.2134                                            12.888
37.000                                            1.0000                                            320.00                                            2600.0                                            0.033333                                          0.60632                                           15.401
37.000                                            1.0000                                            320.00                                            2600.0                                            0.034375                                          -5.0480                                           56.826
37.000                                            1.0000                                            320.00                                            2600.0                                            0.035417                                          -17.804                                           85.009
37.000                                            1.0000                                            320.00                                            2600.0                                            0.036458                                          -32.134                                           90.143
37.000                                            1.0000                                            320.00                                            2600.0                                            0.037500                                          -43.647                                           76.662
37.000                                            1.0000                                            320.00                                            2600.0                                            0.038542                                          -49.362                                           49.510
37.000                                            1.0000                                            320.00                                            2600.0                                            0.039583                                          -48.090                                           13.577
37.000                                            1.0000                                            320.00                                            2600.0                                            0.040625                                          -41.545                                           -29.255
37.000                                            1.0000                                            320.00                                            2600.0                                            0.041667                                          -28.870                                           -68.093
37.000                                            1.0000                                            320.00                                            2600.0                                            0.042708                                          -11.601                                           -96.093
37.000                                            1.0000                                            320.00                                            2600.0                                            0.043750                                          7.0539                                            -110.36
37.000                                            1.0000                                            320.00                                            2600.0                                            0.044792                                          20.510                                            -117.56
37.000                                            1.0000                                            320.00                                            2600.0                                            0.045833                                          25.903                                            -118.51
37.000                                            1.0000                                            320.00                                            2600.0                                            0.046875                                          28.405                                            -98.938
37.000                                            1.0000                                            320.00                                            2600.0                                            0.047917                                          29.768                                            -56.789
37.000                                            1.0000                                            320.00                                            2600.0                                            0.048958                                          30.095                                            2.2500
37.000                                            1.0000                                            320.00                                            2600.0                                            0.050000                                          29.132                                            68.711
37.000                                            1.0000                                            320.00                                            2600.0                                            0.051042                                          26.490                                            131.21
37.000                                            1.0000                                            320.00                                            2600.0                                            0.052083                                          17.160                                            167.47
37.000                                            1.0000                                            320.00                                            2600.0                                            0.053125                                          -9.3975                                           143.77
37.000                                            1.0000                                            320.00                                            2600.0                                            0.054167                                          -31.927                                           104.30
37.000                                            1.0000                                            320.00                                            2600.0                                            0.055208                                          -44.938                                           59.944
37.000                                            1.0000                                            320.00                                            2600.0                                            0.056250                                          -48.346                                           12.973
37.000                                            1.0000                                            320.00                                            2600.0                                            0.057292                                          -42.873                                           -32.388
37.000                                            1.0000                                            320.00                                            2600.0                                            0.058333                                          -30.101                                           -70.996
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0000                                            28.953                                            735.41
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0010417                                         2.7258                                            137.97
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0020833                                         -4.4461                                           14.070
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0031250                                         -6.1020                                           10.943
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0041667                                         -6.7833                                           7.3097
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0052083                                         -6.4905                                           1.0760
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0062500                                         -5.2215                                           -5.6264
37.000                                            1.0000                                            320.00                                            2800.0                                            0.0072917                                         -3.1626                                           -11.599
