% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 27 2026, 22:29
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
50                                                1                                                 300                                               3000                                              0                                                 25.08169666613493                                 637.0829947656888
50                                                1                                                 300                                               3000                                              0.0010416666666666667                             6.901558350276433                                 244.03148681558838
50                                                1                                                 300                                               3000                                              0.0020833333333333333                             -4.466004283993466                                13.56349118656597
50                                                1                                                 300                                               3000                                              0.003125                                          -6.106773027375089                                10.821461643972484
50                                                1                                                 300                                               3000                                              0.004166666666666667                              -6.799272401491905                                6.903603423488719
50                                                1                                                 300                                               3000                                              0.005208333333333333                              -6.476914624048495                                1.4198650884681014
50                                                1                                                 300                                               3000                                              0.00625                                           -5.173182685757596                                -4.398840218242867
50                                                1                                                 300                                               3000                                              0.007291666666666667                              -3.0881704489083517                               -9.707624683705017
50                                                1                                                 300                                               3000                                              0.008333333333333333                              -0.5450609252548984                               -13.844547501474239
50                                                1                                                 300                                               3000                                              0.009375                                          2.051842188478461                                 -16.615113131213953
50                                                1                                                 300                                               3000                                              0.010416666666666666                              4.327684993438247                                 -17.076801166668368
50                                                1                                                 300                                               3000                                              0.011458333333333333                              5.976105043180453                                 -14.14042844251619
50                                                1                                                 300                                               3000                                              0.0125                                            6.733495367452358                                 -8.574340088093185
50                                                1                                                 300                                               3000                                              0.013541666666666667                              6.480906840862195                                 -1.3184627814001126
50                                                1                                                 300                                               3000                                              0.014583333333333334                              5.240555099081919                                 6.110099516680706
50                                                1                                                 300                                               3000                                              0.015625                                          3.187723966281071                                 12.236284024972075
50                                                1                                                 300                                               3000                                              0.016666666666666666                              0.6638977959451685                                16.86300401700708
50                                                1                                                 300                                               3000                                              0.017708333333333333                              -2.066273772598634                                16.24855089456159
50                                                1                                                 300                                               3000                                              0.01875                                           -4.41483807640129                                 14.863112859407076
50                                                1                                                 300                                               3000                                              0.019791666666666666                              -6.071792074469146                                11.709977847783426
50                                                1                                                 300                                               3000                                              0.020833333333333332                              -6.793345389335575                                7.0541495322594665
50                                                1                                                 300                                               3000                                              0.021875                                          -6.556741511058857                                -0.6077378415950279
50                                                1                                                 300                                               3000                                              0.022916666666666665                              -5.275129139325135                                -6.988280138858279
50                                                1                                                 300                                               3000                                              0.02395833333333333                               -3.1771104592211166                               -11.966700945648913
50                                                1                                                 300                                               3000                                              0.025                                             -0.6076329765480557                               -15.43387760432055
50                                                1                                                 300                                               3000                                              0.026041666666666668                              2.0172443831806937                                -17.493897385777405
50                                                1                                                 300                                               3000                                              0.027083333333333334                              4.328942834304252                                 -17.044852008671832
50                                                1                                                 300                                               3000                                              0.028125                                          5.97636215192455                                  -14.133897880416182
50                                                1                                                 300                                               3000                                              0.029166666666666667                              6.733549671520966                                 -8.572960764750563
50                                                1                                                 300                                               3000                                              0.030208333333333334                              6.4809186004537445                                -1.3181640877748286
50                                                1                                                 300                                               3000                                              0.03125                                           5.335037606414457                                 8.509955202927054
50                                                1                                                 300                                               3000                                              0.03229166666666666                               3.2957817279726123                                14.980951171936889
50                                                1                                                 300                                               3000                                              0.03333333333333333                               0.6955568571634237                                17.667144171950554
50                                                1                                                 300                                               3000                                              0.034375                                          -4.844461674625599                                57.30589582598577
50                                                1                                                 300                                               3000                                              0.035416666666666666                              -17.75976424354662                                85.11232747700632
50                                                1                                                 300                                               3000                                              0.036458333333333336                              -32.32049705976785                                89.7032956169043
50                                                1                                                 300                                               3000                                              0.0375                                            -43.74968954106299                                76.41835466096164
50                                                1                                                 300                                               3000                                              0.03854166666666667                               -49.19309142843046                                49.90807661310194
50                                                1                                                 300                                               3000                                              0.03958333333333333                               -47.541908783993456                               14.869012282324421
50                                                1                                                 300                                               3000                                              0.040625                                          -40.581259749448776                               -26.98189506191844
50                                                1                                                 300                                               3000                                              0.041666666666666664                              -27.548611157747867                               -64.97536717348774
50                                                1                                                 300                                               3000                                              0.042708333333333334                              -10.210572322007097                               -92.81426886661485
50                                                1                                                 300                                               3000                                              0.04375                                           6.941301366954339                                 -110.62844491879727
50                                                1                                                 300                                               3000                                              0.04479166666666667                               16.983209758975114                                -125.87738323634534
50                                                1                                                 300                                               3000                                              0.04583333333333334                               20.781931078458072                                -130.58945354919126
50                                                1                                                 300                                               3000                                              0.046875                                          22.697072191609774                                -112.40083055594617
50                                                1                                                 300                                               3000                                              0.04791666666666666                               23.82420303350462                                 -70.80891541669192
50                                                1                                                 300                                               3000                                              0.04895833333333333                               24.2510913739724                                  -11.533973492241762
50                                                1                                                 300                                               3000                                              0.05                                              23.80114691765845                                 56.136705087219376
50                                                1                                                 300                                               3000                                              0.051041666666666666                              22.384960553783007                                121.52843311041771
50                                                1                                                 300                                               3000                                              0.05208333333333333                               19.034835940541544                                171.89502019690542
50                                                1                                                 300                                               3000                                              0.053125                                          3.5748322988412373                                174.36499386128077
50                                                1                                                 300                                               3000                                              0.05416666666666667                               -23.440615923124547                               124.31875543698503
